Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Panchgani,Satara,June,Monsoon,No,Humid,Low,Families,No,Low,Low,High
Elephanta Caves,Mumbai,September,Monsoon,No,Rainy,Low,Students,No,Low,Low,Low
Sindhudurg Fort,Sindhudurg,May,Summer,Yes,Humid,Medium,Students,No,High,Low,Medium
Kaas Plateau,Satara,July,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,June,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,High
Matheran,Raigad,November,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,Medium
Gateway of India,Mumbai,April,Summer,Yes,Hot,Medium,Solo Travelers,Yes,High,Low,Low
Bhimashankar Temple,Pune,November,Post-Monsoon,No,Clear,Medium,Families,No,Low,High,Medium
Ellora Caves,Aurangabad,May,Summer,No,Humid,Low,Couples,Yes,Medium,Low,High
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,No,Clear,Medium,Couples,No,Low,High,Low
Matheran,Raigad,August,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Medium
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Clear,High,Students,No,Medium,High,Low
Panchgani,Satara,January,Winter,No,Pleasant,Medium,Couples,No,Low,Low,High
Gateway of India,Mumbai,September,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Low
Ellora Caves,Aurangabad,April,Summer,No,Humid,Low,Students,Yes,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,July,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,High,Low
Daulatabad Fort,Aurangabad,February,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Gateway of India,Mumbai,August,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,January,Winter,No,Pleasant,Medium,Couples,No,Low,High,Low
Gateway of India,Mumbai,October,Post-Monsoon,Yes,Clear,High,Families,Yes,Medium,Low,High
Pratapgad Fort,Satara,December,Winter,Yes,Pleasant,High,Families,No,Medium,Low,High
Pratapgad Fort,Satara,May,Summer,Yes,Warm,Medium,Students,No,High,Low,Medium
Sindhudurg Fort,Sindhudurg,March,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,August,Monsoon,No,Humid,Low,Families,No,Low,Low,High
Elephanta Caves,Mumbai,August,Monsoon,No,Humid,Low,Families,No,Low,Low,High
Shani Shingnapur,Ahmednagar,March,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,High,Low
Raigad Fort,Raigad,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,March,Summer,No,Warm,Low,Couples,No,Medium,Low,High
Elephanta Caves,Mumbai,June,Monsoon,No,Rainy,Low,Families,No,Low,Low,Medium
Lonavala,Pune,July,Monsoon,Yes,Humid,High,Couples,No,Medium,Low,Medium
Bhimashankar Temple,Pune,February,Winter,Yes,Pleasant,High,Couples,No,Medium,High,Low
Lonavala,Pune,October,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,Medium
Daulatabad Fort,Aurangabad,April,Summer,No,Warm,Low,Families,No,Medium,Low,High
Sindhudurg Fort,Sindhudurg,August,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,April,Summer,No,Warm,Low,Foreign Tourists,No,Medium,High,High
Tarkarli Beach,Sindhudurg,April,Summer,Yes,Hot,Medium,Couples,No,High,Low,Low
Khandala,Pune,May,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,November,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,High
Khandala,Pune,October,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,Low,High
Sindhudurg Fort,Sindhudurg,July,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,February,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,Medium
Panchgani,Satara,June,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,High
Aga Khan Palace,Pune,November,Post-Monsoon,No,Clear,Medium,Foreign Tourists,Yes,Low,Low,Medium
Matheran,Raigad,March,Summer,No,Humid,Low,Foreign Tourists,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,March,Summer,No,Warm,Low,Solo Travelers,No,Medium,High,High
Shirdi,Ahmednagar,October,Post-Monsoon,Yes,Clear,High,Families,No,Medium,High,Low
Ellora Caves,Aurangabad,December,Winter,No,Cool,Medium,Families,Yes,Low,Low,High
Trimbakeshwar Temple,Nashik,May,Summer,Yes,Humid,Medium,Students,No,High,High,High
Panchgani,Satara,May,Summer,Yes,Warm,Medium,Students,No,High,Low,High
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,No,Clear,Medium,Families,No,Low,High,Medium
Matheran,Raigad,February,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,High
Raigad Fort,Raigad,April,Summer,No,Warm,Low,Students,No,Medium,Low,Medium
Raigad Fort,Raigad,April,Summer,No,Warm,Low,Couples,No,Medium,Low,Medium
Lonavala,Pune,July,Monsoon,Yes,Rainy,High,Foreign Tourists,No,Medium,Low,Low
Ellora Caves,Aurangabad,March,Summer,Yes,Humid,Medium,Solo Travelers,Yes,High,Low,Low
Panchgani,Satara,May,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,High
Khandala,Pune,December,Winter,Yes,Cool,High,Families,No,Medium,Low,High
Daulatabad Fort,Aurangabad,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Low
Matheran,Raigad,February,Winter,Yes,Cool,High,Students,No,Medium,Low,High
Daulatabad Fort,Aurangabad,June,Monsoon,No,Humid,Low,Students,No,Low,Low,Medium
Pratapgad Fort,Satara,July,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,High
Khandala,Pune,February,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,High
Mahabaleshwar,Satara,March,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,Low
Kaas Plateau,Satara,February,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,March,Summer,Yes,Warm,Medium,Solo Travelers,No,High,Low,High
Shirdi,Ahmednagar,May,Summer,No,Hot,Low,Foreign Tourists,No,Medium,High,Medium
Ajanta Caves,Aurangabad,April,Summer,Yes,Hot,Medium,Students,Yes,High,Low,Low
Gateway of India,Mumbai,May,Summer,Yes,Warm,Medium,Foreign Tourists,Yes,High,Low,Low
Gateway of India,Mumbai,August,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Medium
Shirdi,Ahmednagar,April,Summer,No,Warm,Low,Foreign Tourists,No,Medium,High,High
Mahabaleshwar,Satara,May,Summer,Yes,Warm,Medium,Couples,No,High,Low,Low
Raigad Fort,Raigad,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,December,Winter,Yes,Pleasant,High,Families,No,Medium,High,Low
Raigad Fort,Raigad,March,Summer,No,Hot,Low,Students,No,Medium,Low,Low
Lonavala,Pune,November,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,Low,Medium
Kaas Plateau,Satara,September,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Medium
Panchgani,Satara,November,Post-Monsoon,Yes,Clear,High,Families,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,January,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,High,Low
Raigad Fort,Raigad,August,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Medium
Ellora Caves,Aurangabad,August,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,High
Khandala,Pune,May,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,Low
Trimbakeshwar Temple,Nashik,March,Summer,No,Warm,Low,Foreign Tourists,No,Medium,High,High
Matheran,Raigad,April,Summer,No,Hot,Low,Couples,No,Medium,Low,Low
Aga Khan Palace,Pune,June,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,Medium
Shirdi,Ahmednagar,April,Summer,No,Hot,Low,Families,No,Medium,High,High
Elephanta Caves,Mumbai,January,Winter,Yes,Cool,High,Families,Yes,Medium,Low,Low
Kaas Plateau,Satara,January,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Medium
Kaas Plateau,Satara,March,Summer,Yes,Humid,Medium,Couples,No,High,Low,High
Matheran,Raigad,December,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,Medium
Elephanta Caves,Mumbai,February,Winter,No,Cool,Medium,Couples,Yes,Low,Low,High
Mahabaleshwar,Satara,June,Monsoon,No,Rainy,High,Students,No,Low,Low,High
Gateway of India,Mumbai,June,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,Medium
Elephanta Caves,Mumbai,April,Summer,Yes,Warm,Medium,Couples,Yes,High,Low,Low
Sindhudurg Fort,Sindhudurg,April,Summer,No,Humid,Low,Couples,No,Medium,Low,Medium
Mahabaleshwar,Satara,October,Post-Monsoon,No,Pleasant,Medium,Families,No,Low,Low,Low
Mahabaleshwar,Satara,March,Summer,No,Warm,Low,Couples,No,Medium,Low,Medium
Aga Khan Palace,Pune,June,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Low
Shirdi,Ahmednagar,April,Summer,No,Hot,Low,Students,No,Medium,High,Low
Tarkarli Beach,Sindhudurg,September,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,High,Medium
Panchgani,Satara,August,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,High
Elephanta Caves,Mumbai,January,Winter,Yes,Cool,High,Foreign Tourists,Yes,Medium,Low,High
Gateway of India,Mumbai,February,Winter,No,Cool,Medium,Families,Yes,Low,Low,Low
Daulatabad Fort,Aurangabad,October,Post-Monsoon,No,Pleasant,Medium,Families,No,Low,Low,High
Bhimashankar Temple,Pune,January,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,High,Medium
Ellora Caves,Aurangabad,April,Summer,No,Hot,Low,Couples,Yes,Medium,Low,Low
Raigad Fort,Raigad,September,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,High
Gateway of India,Mumbai,August,Monsoon,No,Humid,Low,Families,No,Low,Low,High
Sindhudurg Fort,Sindhudurg,April,Summer,Yes,Humid,Medium,Couples,No,High,Low,Medium
Trimbakeshwar Temple,Nashik,December,Winter,No,Cool,Medium,Solo Travelers,No,Low,High,High
Elephanta Caves,Mumbai,October,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,Yes,Low,Low,High
Shirdi,Ahmednagar,October,Post-Monsoon,No,Pleasant,Medium,Couples,No,Low,High,High
Pratapgad Fort,Satara,February,Winter,No,Cool,Medium,Couples,No,Low,Low,Low
Elephanta Caves,Mumbai,March,Summer,Yes,Humid,Medium,Couples,Yes,High,Low,High
Aga Khan Palace,Pune,April,Summer,Yes,Humid,Medium,Solo Travelers,Yes,High,Low,Low
Bhimashankar Temple,Pune,August,Monsoon,Yes,Rainy,Medium,Students,No,Medium,High,Low
Ellora Caves,Aurangabad,October,Post-Monsoon,No,Pleasant,Medium,Couples,Yes,Low,Low,High
Trimbakeshwar Temple,Nashik,March,Summer,Yes,Humid,Medium,Solo Travelers,No,High,High,High
Aga Khan Palace,Pune,February,Winter,No,Pleasant,Medium,Families,Yes,Low,Low,Medium
Pratapgad Fort,Satara,December,Winter,No,Pleasant,Medium,Couples,No,Low,Low,High
Daulatabad Fort,Aurangabad,May,Summer,No,Hot,Low,Couples,No,Medium,Low,High
Khandala,Pune,January,Winter,No,Pleasant,Medium,Students,No,Low,Low,High
Tarkarli Beach,Sindhudurg,December,Winter,No,Pleasant,Medium,Families,No,Low,Low,Medium
Shirdi,Ahmednagar,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,High,High
Elephanta Caves,Mumbai,November,Post-Monsoon,No,Clear,Medium,Solo Travelers,Yes,Low,Low,High
Tarkarli Beach,Sindhudurg,March,Summer,No,Warm,Low,Families,No,Medium,Low,High
Khandala,Pune,October,Post-Monsoon,Yes,Clear,High,Families,No,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,High
Raigad Fort,Raigad,October,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,Low
Mahabaleshwar,Satara,July,Monsoon,Yes,Humid,High,Students,No,Medium,Low,High
Pratapgad Fort,Satara,October,Post-Monsoon,Yes,Pleasant,High,Families,No,Medium,Low,Low
Daulatabad Fort,Aurangabad,December,Winter,No,Cool,Medium,Couples,No,Low,Low,High
Bhimashankar Temple,Pune,October,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,High,High
Ajanta Caves,Aurangabad,June,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,High
Trimbakeshwar Temple,Nashik,August,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,High,Medium
Ajanta Caves,Aurangabad,August,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Mahabaleshwar,Satara,June,Monsoon,Yes,Rainy,High,Solo Travelers,No,Medium,Low,High
Bhimashankar Temple,Pune,December,Winter,No,Cool,Medium,Students,No,Low,High,High
Kaas Plateau,Satara,January,Winter,No,Pleasant,Medium,Families,No,Low,Low,Low
Mahabaleshwar,Satara,September,Monsoon,Yes,Humid,High,Solo Travelers,No,Medium,Low,Low
Khandala,Pune,August,Monsoon,No,Humid,High,Students,No,Low,Low,High
Kaas Plateau,Satara,March,Summer,No,Hot,Low,Students,No,Medium,Low,High
Panchgani,Satara,November,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,Low,Medium
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,High,Medium
Matheran,Raigad,August,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Low
Daulatabad Fort,Aurangabad,August,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,High
Tarkarli Beach,Sindhudurg,August,Monsoon,No,Rainy,Low,Students,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,July,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,High,High
Daulatabad Fort,Aurangabad,November,Post-Monsoon,Yes,Clear,High,Students,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,No,Pleasant,Medium,Couples,No,Low,High,High
Matheran,Raigad,June,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Medium
Gateway of India,Mumbai,March,Summer,No,Humid,Low,Students,Yes,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,August,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,High
Matheran,Raigad,July,Monsoon,No,Humid,Low,Families,No,Low,Low,Medium
Daulatabad Fort,Aurangabad,December,Winter,No,Pleasant,Medium,Families,No,Low,Low,Medium
Panchgani,Satara,December,Winter,No,Cool,Medium,Students,No,Low,Low,Medium
Aga Khan Palace,Pune,May,Summer,Yes,Warm,Medium,Students,Yes,High,Low,Low
Shani Shingnapur,Ahmednagar,September,Monsoon,No,Rainy,Low,Families,No,Low,High,Low
Sindhudurg Fort,Sindhudurg,February,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,High
Bhimashankar Temple,Pune,February,Winter,No,Cool,Medium,Foreign Tourists,No,Low,High,Low
Elephanta Caves,Mumbai,September,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Medium
Aga Khan Palace,Pune,December,Winter,No,Pleasant,Medium,Families,Yes,Low,Low,High
Gateway of India,Mumbai,December,Winter,Yes,Cool,High,Solo Travelers,Yes,Medium,Low,Medium
Daulatabad Fort,Aurangabad,March,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,High
Ellora Caves,Aurangabad,March,Summer,Yes,Hot,Medium,Foreign Tourists,Yes,High,Low,High
Raigad Fort,Raigad,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,Medium
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,High,High
Sindhudurg Fort,Sindhudurg,September,Monsoon,No,Rainy,Low,Families,No,Low,Low,High
Trimbakeshwar Temple,Nashik,July,Monsoon,No,Rainy,Low,Couples,No,Low,High,Medium
Khandala,Pune,August,Monsoon,No,Humid,High,Students,No,Low,Low,High
Lonavala,Pune,December,Winter,No,Pleasant,Medium,Families,No,Low,Low,Low
Kaas Plateau,Satara,August,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,High
Pratapgad Fort,Satara,September,Monsoon,No,Humid,Low,Families,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,January,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,High,High
Gateway of India,Mumbai,January,Winter,Yes,Cool,High,Families,Yes,Medium,Low,Medium
Daulatabad Fort,Aurangabad,June,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,High
Khandala,Pune,August,Monsoon,Yes,Rainy,High,Couples,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,High
Ajanta Caves,Aurangabad,May,Summer,Yes,Humid,Medium,Students,Yes,High,Low,Medium
Raigad Fort,Raigad,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Panchgani,Satara,December,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,High
Khandala,Pune,September,Monsoon,No,Humid,High,Solo Travelers,No,Low,Low,Low
Lonavala,Pune,November,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,Low,Medium
Mahabaleshwar,Satara,March,Summer,Yes,Humid,Medium,Solo Travelers,No,High,Low,High
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,High,Medium
Elephanta Caves,Mumbai,June,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,High
Panchgani,Satara,October,Post-Monsoon,No,Pleasant,Medium,Couples,No,Low,Low,High
Tarkarli Beach,Sindhudurg,January,Winter,No,Pleasant,Medium,Families,No,Low,Low,Low
Lonavala,Pune,June,Monsoon,Yes,Rainy,High,Students,No,Medium,Low,Medium
Pratapgad Fort,Satara,April,Summer,No,Hot,Low,Foreign Tourists,No,Medium,Low,High
Panchgani,Satara,April,Summer,No,Humid,Low,Foreign Tourists,No,Medium,Low,Low
Ajanta Caves,Aurangabad,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Medium
Lonavala,Pune,March,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,Low
Khandala,Pune,November,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,March,Summer,No,Hot,Low,Solo Travelers,Yes,Medium,Low,Medium
Ajanta Caves,Aurangabad,May,Summer,Yes,Humid,Medium,Families,Yes,High,Low,Medium
Khandala,Pune,April,Summer,Yes,Hot,Medium,Families,No,High,Low,Medium
Bhimashankar Temple,Pune,January,Winter,No,Cool,Medium,Families,No,Low,High,High
Mahabaleshwar,Satara,October,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,High
Panchgani,Satara,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,Low,High
Elephanta Caves,Mumbai,June,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,High
Gateway of India,Mumbai,May,Summer,No,Humid,Low,Families,Yes,Medium,Low,High
Panchgani,Satara,November,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,Medium
Lonavala,Pune,July,Monsoon,No,Rainy,High,Couples,No,Low,Low,Medium
Bhimashankar Temple,Pune,April,Summer,No,Hot,Low,Students,No,Medium,High,Medium
Tarkarli Beach,Sindhudurg,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,Low,Low
Aga Khan Palace,Pune,February,Winter,Yes,Cool,High,Families,Yes,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,July,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Low
Tarkarli Beach,Sindhudurg,July,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Medium
Bhimashankar Temple,Pune,January,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,High,High
Shirdi,Ahmednagar,July,Monsoon,Yes,Rainy,Medium,Families,No,Medium,High,High
Sindhudurg Fort,Sindhudurg,May,Summer,No,Humid,Low,Families,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,April,Summer,Yes,Warm,Medium,Students,No,High,Low,Medium
Mahabaleshwar,Satara,February,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Low
Panchgani,Satara,March,Summer,No,Hot,Low,Students,No,Medium,Low,Low
Bhimashankar Temple,Pune,November,Post-Monsoon,Yes,Pleasant,High,Families,No,Medium,High,Low
Shani Shingnapur,Ahmednagar,April,Summer,No,Warm,Low,Couples,No,Medium,High,Low
Shirdi,Ahmednagar,August,Monsoon,No,Rainy,Low,Couples,No,Low,High,High
Pratapgad Fort,Satara,March,Summer,Yes,Hot,Medium,Families,No,High,Low,Medium
Pratapgad Fort,Satara,July,Monsoon,No,Rainy,Low,Families,No,Low,Low,Medium
Tarkarli Beach,Sindhudurg,September,Monsoon,No,Rainy,Low,Students,No,Low,Low,High
Gateway of India,Mumbai,July,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,High
Sindhudurg Fort,Sindhudurg,May,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,High
Lonavala,Pune,April,Summer,Yes,Humid,Medium,Students,No,High,Low,High
Matheran,Raigad,October,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,High
Bhimashankar Temple,Pune,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,High,Medium
Lonavala,Pune,October,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Medium
Kaas Plateau,Satara,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Low
Shani Shingnapur,Ahmednagar,March,Summer,No,Warm,Low,Families,No,Medium,High,High
Shirdi,Ahmednagar,January,Winter,Yes,Pleasant,High,Couples,No,Medium,High,Low
Panchgani,Satara,February,Winter,No,Cool,Medium,Couples,No,Low,Low,Medium
Lonavala,Pune,August,Monsoon,Yes,Rainy,High,Foreign Tourists,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,Yes,Clear,High,Families,No,Medium,High,High
Bhimashankar Temple,Pune,October,Post-Monsoon,No,Clear,Medium,Students,No,Low,High,High
Aga Khan Palace,Pune,January,Winter,Yes,Cool,High,Foreign Tourists,Yes,Medium,Low,High
Raigad Fort,Raigad,August,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Medium
Gateway of India,Mumbai,January,Winter,No,Cool,Medium,Families,Yes,Low,Low,Low
Matheran,Raigad,March,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,High
Khandala,Pune,June,Monsoon,Yes,Rainy,High,Couples,No,Medium,Low,Medium
Lonavala,Pune,July,Monsoon,No,Rainy,High,Families,No,Low,Low,Medium
Aga Khan Palace,Pune,June,Monsoon,No,Rainy,Low,Families,No,Low,Low,High
Tarkarli Beach,Sindhudurg,July,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,August,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Daulatabad Fort,Aurangabad,May,Summer,No,Humid,Low,Families,No,Medium,Low,High
Aga Khan Palace,Pune,March,Summer,Yes,Hot,Medium,Foreign Tourists,Yes,High,Low,High
Daulatabad Fort,Aurangabad,June,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,High
Lonavala,Pune,June,Monsoon,No,Rainy,High,Students,No,Low,Low,Low
Elephanta Caves,Mumbai,July,Monsoon,No,Humid,Low,Students,No,Low,Low,Low
Ellora Caves,Aurangabad,July,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,High
Gateway of India,Mumbai,June,Monsoon,No,Humid,Low,Couples,No,Low,Low,High
Lonavala,Pune,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,Low,Low
Panchgani,Satara,August,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Low
Aga Khan Palace,Pune,June,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Medium
